stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,28.6,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,1.07,0,0,5.35,0,75.96,11.77,0,4.28,0,24.61
21Day,0,0,1.34,0,0,0,0,1.34,0,1.34,0,17.4,8.03,0,4.02,0,2.68
3Month,0,0.64,0,0.32,0,1.92,0,0,0.32,0,0,0,0,0.32,0,0.32,0
22Month,0,0.55,0,0.55,0.55,8.75,0,0,1.09,0.55,1.09,0,0,0,0,0,0
