stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,5.35,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,6.69,2.68,0,1.34,0,0,0,8.03,0,0,77.63,0,1.34,0,6.69,0,0,0,0,4.02,1.34,1.34,0,2.68,0,0,1.34,0,0,0,1.34
3Month,0.32,0.96,10.56,9.28,0,0.32,0,5.12,2.56,0,18.88,5.76,0,412.73,0.64,2.88,2.24,55.99,1.6,0,33.27,0.64,0.96,0,0.64,1.6,4.48,16.32,0.32,0,0,0.64,0.64,3.84
22Month,0,0.55,2.73,9.84,0,0,0.55,4.37,3.83,1.64,44.28,1.64,0.55,162.36,0,0,5.47,158.53,0,1.09,4.37,0,0.55,6.56,1.09,17.49,0,0.55,0,1.64,11.48,0,0,2.19
