stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,1.34,0,0,0,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0,1.34,6.69,0,0,0,1.34,0
3Month,0.32,0.32,0.32,3.84,1.28,1.92,0,13.44,3.52,4.16,1.28,1.6,1.92,2.56,0.96,1.28,0,0,0.96,0.32,4.16,251.8,0.64,0.32,0.32,244.44,1.92
22Month,0,0,0.55,0,0,0,1.09,5.47,0,1.64,0,0,0,0,0,0,0,0,0,0,0,56.31,0.55,0,0,0.55,0
