stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,8.17,28.6,0,0,927.61,0,4.09,0,0,0,0
72hpf,2.14,0,2.14,427.92,0,0,0,0,0,0,1.07,0,0,0,25.67,3.21,1.07,0,0,0,1.07,1.07
21Day,2.68,0,2.68,113.78,0,2.68,0,0,0,0,0,0,0,0,2.68,2.68,0,0,2.68,0,1.34,0
3Month,0,0,0.32,0,0.32,0,0.32,1.6,0,0.32,0,1.6,0.32,0.32,0,0,0,0,0,2.56,0,0
22Month,0,0.55,0.55,0,0.55,0,0.55,11.48,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0
