stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,2.68,0,0,0,0,0,0,2.68,0,0,0,2.68,0,0,0,0,4.02,1.34,0,0,0,1.34,0,0,0,0,0,1.34
3Month,0,0.32,0.64,3.2,0,0,0,0,0.64,0,5.76,0.96,26.56,0.64,0,0.96,107.82,0.32,0,0,2.24,0,0,0,0.96,0,1.6,4.8,0,0,0.32,3.2,31.99
22Month,0.55,39.91,0.55,72.16,0.55,0,8.2,22.41,58.49,1.64,135.02,6.01,360.25,7.65,2.19,14.21,2148.9,22.41,7.65,0.55,0,1.09,12.57,1.64,1.09,0.55,5.47,0,0.55,1.64,0,0,406.71
