stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
72hpf,0,0,0,0,0,0,20.33,1.07,0,0,1.07,1.07,0,1.07
21Day,4.02,0,0,0,0,0,9.37,1.34,0,0,0,1.34,1.34,0
3Month,0,0.32,0,0.64,0,0.32,0,0.64,0,0.32,0,0,0,0
22Month,2.19,0,0.55,2.19,0.55,0,0,0.55,0.55,0,0,0,0,0
