stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,49.04,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,28.6,0,0,0,0,0,0,0
72hpf,36.37,1.07,0,0,0,0,0,0,0,0,0,1.07,0,5.35,0,1.07,13.91,1.07,0,2.14,0,0,0,0,0
21Day,24.09,0,0,0,2.68,0,1.34,0,2.68,2.68,0,1.34,0,14.72,0,12.05,10.71,0,0,2.68,2.68,0,0,0,0
3Month,25.6,0,0.32,4.48,0,0,0.96,0.64,0,0.32,2.24,1.28,0.64,4.16,0.96,5.76,0,0,0.32,0,0,0.96,0.32,0.32,0.32
22Month,13.67,0,0.55,1.64,0,0.55,2.19,0,0,0,0.55,0,0,3.83,0,0.55,0,0,1.09,0,0,1.09,0,0,0
