stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,20.43,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,75.96,5.35,0,1.07,1.07,0,0,0,0,0
21Day,0,2.68,1.34,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,41.49,6.69,0,0,0,0,1.34,0,0,0
3Month,0.32,6.72,0.32,0.32,0,1.28,7.04,2.88,0,3.84,0.64,2.24,0.64,1.6,0.96,0.32,2.24,0.32,3.52,0,0,1.28,90.55,0.64,165.73,2.24
22Month,0,0.55,0,0,0,1.09,7.11,0,0,0.55,0,0.55,0.55,0,0,0,1.64,0,0.55,0,0,0,1.64,0,0,0.55
