stage,Granulocyte,Hepatocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0,0,0,16.05,1.07,2.14
21Day,0,0,0,22.76,0,0
3Month,0.64,0,0.32,2.24,0,0
22Month,0,1.64,0,0,0,0
