stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,8.17,0,0,0,8.17,0,0
72hpf,1.07,0,1.07,0,0,0,0,1.07,1.07,0,13.91,0,0,1.07,3.21,3.21,0
21Day,0,0,1.34,0,0,0,0,0,0,2.68,10.71,0,1.34,0,0,1.34,0
3Month,0,0,0,0.32,0,0.32,0,0,0,0.64,0.32,0,0,0,0,0,0.32
22Month,0,0.55,2.73,1.09,26.79,11.48,0.55,0,0,32.25,6.56,0.55,0.55,0,0,0.55,0
