stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35
3Month,0.32,0.96,0,0.32,0,0.32,0,0,0.32,0.64,0,0,0,0.32,0.32,0
22Month,0.55,1.09,0.55,0,1.09,7.11,2.19,0.55,0.55,0,1.64,0.55,0.55,0.55,0,1.09
