stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,2.68,2.68,0,0,1.34,0,0,1.34,0,1.34,0,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,1.28,0,0.96,0.32,0,1.28,0.32,0.64,1.28,0,0.96,0,0,0.32,0.64,32.31,0.64,0,0.64,9.6,0.96
22Month,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,4.37,0,0,0,0,0
