stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,79.16,0,0,1.07,1.07,3.21,0,0,0,0,0,0,0,0,0,3.21,0,2.14,0,0,0,12.84,2.14,0,0,3.21,0,1.07,2.14,0,0,0,0
21Day,194.09,0,1.34,10.71,1.34,12.05,1.34,0,0,0,0,0,1.34,0,0,4.02,0,9.37,0,0,0,10.71,2.68,0,2.68,2.68,4.02,0,4.02,0,2.68,0,0
3Month,0.32,0.64,0.32,2.24,0.64,0,0.32,0,1.6,0,15.04,2.24,0.32,2.88,0.32,2.24,1.92,1.92,0,0,0.32,0,0,0,0,0,0,2.56,0,0,0,0.32,1.92
22Month,0.55,0,0.55,5.47,0,0,0,0.55,3.28,2.19,84.18,0,1.64,11.48,0,0,4.37,5.47,0.55,1.64,0.55,0,0,1.64,0,0,1.09,3.28,0.55,0.55,0,0,0
