stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,1.34,1.34,1.34,0,1.34,2.68,115.11,1.34,0,0,1.34,1.34,1.34,0,1.34,0,0,0
3Month,0.64,0.32,2.88,0.32,0.96,3.84,1.28,0.32,2.24,0,0.64,337.87,0.64,0.32,12.8,0,0,0.64,0.96,0,0.32,0.32,1.92
22Month,0,0,0.55,0,1.09,1.64,0.55,0,0.55,0,0,38.81,0,0,0.55,0,0,0,3.83,0,0,0,2.19
