stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Osteoblast
72hpf,0,0,0,0,0,0,7.49,0
21Day,1.34,0,0,0,1.34,0,2.68,1.34
3Month,0.32,0,0.32,0.32,0,0,0,0
22Month,0,0.55,0.55,0,0,0.55,0,0
