stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,40.86,0,0,4.09,16.35,416.81,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,8.56,5.35,0,10.7,24.61,0,0,0,1.07,0,0,0,0,0,2.14,9.63,2.14,18.19,0,0,0,228.94,103.77,1.07,0,22.47,0,0,6.42,2.14,1.07,0,0,0
21Day,4.02,0,0,18.74,48.19,0,12.05,1.34,0,0,0,2.68,12.05,1.34,1.34,9.37,5.35,28.11,0,0,0,64.25,34.8,0,0,9.37,8.03,0,1.34,2.68,2.68,0,0,1.34
3Month,0,0.96,0.64,10.88,0,0.32,0.64,2.24,5.12,0,19.2,3.52,0,3.84,1.92,3.2,3.84,2.88,1.6,1.92,0.64,1.28,0.32,1.28,0.96,0.64,0,9.6,0,0,0,1.6,3.2,3.2
22Month,0,3.83,0,5.47,0,1.09,0.55,0.55,6.01,4.37,37.17,2.19,3.28,9.29,0.55,1.64,4.37,6.01,0,0.55,0,1.09,0,1.64,2.73,0,0,0.55,0,0,0,0.55,0,2.73
