stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,1.34,0,0,0
3Month,0.32,1.28,0.32,0.96,0.64,2.56,0.64,0.32,0,0.32,0.32,0.64,0.32,0.64,0,0,0,0,22.4,0,0.64,8,0.32
22Month,0,0.55,0,0,0.55,4.92,0.55,0,1.09,0,0,1.64,0,0,0,0,34.99,0,7.11,0,0,0,0
