stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,2.68,1.34,0,0,0,0,0,0,0,17.4,0,0,1.34,0,0,0,1.34,0,1.34,0,0,0,0,0,38.82
3Month,0.32,2.56,0,0,0,0,0.32,0,2.88,0.96,0,1.28,0.96,2.24,0.64,0.64,0.32,0.32,0.32,0,1.28,5.76,0,0.32,1.6,50.23
22Month,0,1.64,0,0.55,0,0.55,1.09,0.55,6.56,0.55,0.55,0.55,0,1.09,0,0,0,0.55,0,0,0,1.09,0.55,0,0,48.65
