stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,69.47,1058.38,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,67.4,7.49,26.74,6.42,70.61,1.07,0,1.07,0,0,0,1.07,0,10.7,101.63,17.12,60.98,2.14,2.14,6647.68,2781.46,3.21,3.21,121.96,1.07,0,86.65,5.35,3.21,7.49,0,0,0
21Day,13.39,0,34.8,2.68,42.83,6.69,0,5.35,0,9.37,2.68,9.37,16.06,1.34,22.76,6.69,37.48,0,5.35,2310.31,435.02,4.02,4.02,22.76,56.22,0,18.74,2.68,17.4,4.02,1.34,0,5.35
3Month,0,0.64,2.88,0,0,0,0.64,0,0.32,4.8,0,0,1.6,0.32,0.32,0,0.64,0,0,25.28,4.16,2.88,0,0,0,1.6,0.64,0,0,0,0,0.64,0
22Month,0,0,0.55,0,0,0,0,1.09,0,8.75,1.09,0,0.55,0.55,0,0.55,0.55,1.09,0,36.63,1.09,0,0,0,0,2.73,10.39,0,0,0,0,0,0
