stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,3.21,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,2.68,1.34,2.68,0,0,0,1.34,0,29.45,0,0,0,0,2.68,0,0,0,0,1.34,0,4.02,0,0,0,0,2.68,17.4,0,0,0,0,0,0,0
3Month,0.64,3.84,18.24,52.79,0,0,7.68,0.32,10.88,14.72,0.32,3676.86,18.88,1.28,66.87,8.96,15.36,11.52,16.96,4.16,7.36,12.48,6.72,3.2,0.96,3.84,5.44,0,1.6,53.75,14.4,1.6,0,0.32,8.32,3.2,19.84
22Month,1.09,1.64,4.37,15.31,0.55,0,8.2,0,2.73,10.39,2.73,2744.21,2.73,0.55,23.51,1.09,1.09,8.75,12.03,0,164.54,1.09,0,1.09,0,1.64,0.55,1.64,0.55,6.56,4.37,1.64,4.37,0,1.64,0,3.83
