stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,16.35,0,0,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,3.21,0,0,0,0,0,0,0,0,0,0,3.21,5.35,2.14,4.28,0,0,0,0,79.16,27.81,0,8.56,0,0,2.14,0,0,1.07,0,0,0
21Day,6.69,0,0,20.08,8.03,0,5.35,1.34,0,0,0,0,5.35,2.68,2.68,6.69,5.35,18.74,0,0,5.35,0,30.79,4.02,0,6.69,2.68,0,1.34,1.34,1.34,0,0,0,0
3Month,0.64,0.96,0.32,5.76,0,0.32,0,1.28,3.2,0,14.4,0.64,0.64,3.84,0.32,2.24,2.56,4.48,0.32,0,1.28,0.96,0.64,0,0.32,0,0.96,4.48,0,0,0,0,1.28,0.64,5.12
22Month,0,0,0,6.56,0,0.55,0.55,1.64,1.09,0.55,21.32,0,0.55,4.92,0,0,3.83,2.73,0,0.55,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0.55,0,0.55
