stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,4.28,1.07,0,3.21,0,0,0,0
21Day,1.34,0,0,6.69,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,12.05,0,0,0,0
3Month,0,0,0.32,23.36,0.32,0.32,0.32,4.48,0.64,1.28,2.24,1.28,0.96,2.88,0.64,0.32,96.62,0,0.32,10.56,2.24,0.32,2.24,0.96
22Month,0,1.09,0,58.49,0,0,0,9.29,0,0.55,0.55,0,0,1.64,1.64,0,5.47,0,0,2.19,0.55,0,0,0
