stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,122.59,4.09,8.17,0,0,0,4.09,40.86,0,0,0,0,0,0
72hpf,1.07,0,0,6.42,2.14,0,0,0,0,0,0,0,0,0,125.17,0,6.42,0,0,0,7.49,4.28,0,0,6.42,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,6.69,0,0,0,0,2.68,0,0,0,0,0,1.34
3Month,0,0.32,0.64,6.08,0,0.64,1.92,0.64,0.32,0,4.48,0,3.84,1.6,1.92,1.28,4.8,0.96,1.28,1.6,0,0.32,0.96,0.32,0,1.6,0.32,0.64
22Month,0,0.55,0,2.73,0,0,0,0.55,2.73,0,30.61,0.55,0,0.55,0,0.55,3.28,0.55,0,0,0.55,0,0,0,0,0,0,0
