stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,4.28,0,0,0,0,0,0,270.66,13.91,0,0,0,0,3.21,1.07,0,0,0
21Day,0,1.34,0,0,1.34,0,0,0,0,1.34,4.02,0,0,0,5.35,1.34,0,0,0,0,28.11,2.68,0,0,1.34,0,0,2.68,0,0,6.69
3Month,0,9.6,0,0.64,0.32,0.96,21.44,0,3.52,68.15,1.28,2.24,8.96,1.6,16.64,1.28,0.64,0.32,0.96,0.32,2.56,0.96,0.32,0,0.64,1.28,0.32,0,1.28,0.96,39.99
22Month,0,6.56,0,0,1.09,2.73,20.77,0.55,5.47,53.57,1.64,1.64,0.55,0,13.12,1.64,0,1.09,0.55,0,1.09,0,0.55,1.09,0,0,0,0,0,0,18.59
