stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,61.3,0,0,0,0,0,0,0,8.17,0,0,4.09,4.09,0,0,8.17,53.12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,7.49,134.79,3.21,0,0,0,0,0,0,2.14,0,12.84,0,6.42,0,0,78.09,18.19,0,1.07,0,12.84,0,0,3.21,1.07,1.07,0,0,0
21Day,2.68,0,8.03,12.05,2.68,0,0,0,0,0,0,1.34,0,16.06,0,6.69,0,1.34,13.39,6.69,0,0,0,1.34,0,1.34,2.68,0,0,0,0,0
3Month,0,0.32,4.16,0.64,0,0.64,0.32,0,9.6,0.32,0.96,1.28,0,4.48,0,1.92,0,0,1.92,0,0.64,0.32,0,0,0.32,1.28,0,0,0,0.32,5.76,1.6
22Month,0,1.09,6.01,0,0,0,1.09,2.19,29.52,1.09,0.55,2.19,0.55,3.83,2.19,4.37,1.09,0.55,1.09,0,0,0.55,0.55,0.55,0,1.64,0,0.55,0,0,0,0.55
