stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,12.26,592.53,0,0,0,0,0,0,0,0,4.09,0,0,8.17,151.2,0,0,0,24.52,245.18,0,28.6,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,3.21,49.21,5.35,0,0,0,0,0,0,0,0,0,1.07,0,126.24,0,0,0,37.44,38.51,0,96.28,0,0,5.35,1.07,2.14,19.26,0,0,0
21Day,5.35,6.69,2.68,4.02,0,0,0,1.34,0,0,9.37,0,0,1.34,4.02,40.16,1.34,0,0,21.42,25.43,0,148.58,0,0,2.68,2.68,2.68,4.02,0,0,2.68
3Month,0,3.2,2.88,0,0,0.64,2.56,0,4.16,0.32,0,0.96,0.64,0.32,0.64,16,3.52,0,4.16,0.32,0.64,0,0.32,0.64,0.64,0,0,0,2.88,0.64,0.32,1.92
22Month,0.55,2.19,2.73,0,1.09,0,0.55,19.68,15.85,0,1.09,1.09,0,0,0,42.09,2.73,0.55,4.92,1.64,0,0.55,0,0,1.09,0,0,0,0,0,0,1.09
