stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,4.09,16.35,0,0,0,147.11,8.17,0,0,4.09,0,0
72hpf,0,0,5.35,0,0,0,0,0,0,2.14,0,6.42,0,0,7.49,21.4,3.21,0,1.07,1.07,0,0
21Day,5.35,0,2.68,14.72,2.68,0,0,1.34,5.35,0,1.34,2.68,0,1.34,2.68,18.74,0,1.34,1.34,0,0,0
3Month,0,0,0,0,0,0.32,0,0.64,0,0,0,0,0,0.64,0,0,0,0.96,0,0,1.28,0.64
22Month,0,0,0.55,0,0,0,1.09,1.64,0,0,0,0,0.55,0.55,0,0,0,2.19,0,0,0,0
