stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,1.07,0,0,5.35,0,0,2.14,0,0,3.21,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,1.34,0,0,0
3Month,0,0.64,2.24,0.32,1.92,0,2.88,1.28,0.64,0.96,0,1.6,1.6,0.32,0.32,0,0.32,0,0.96,28.8,0.64,25.92,0.64
22Month,0,0,0,0.55,0.55,0,1.64,0.55,0,0,1.09,0.55,0,0,0,0,0,0,0,10.39,0,0,0
