stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Retinal_cell
24hpf,4.09,0,0,0,0,4.09,0,0,0,0,4.09,4.09,0,0,0
72hpf,2.14,0,0,0,1.07,1.07,5.35,3.21,0,0,24.61,7.49,0,5.35,1.07
21Day,1.34,1.34,1.34,0,0,1.34,0,8.03,0,1.34,5.35,1.34,0,4.02,0
3Month,0,0,0,0.32,0,0,0,0,0.64,0,0,0,0.32,0,0
22Month,0,0.55,0,1.64,0,0,0,0,0,0,0,0,0,0,0
