stage,Epithelial_cell,Epithelial_cell__Brain_,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,4.09
72hpf,0,3.21,0,0,0,0,14.98,0
21Day,1.34,0,0,1.34,0,1.34,14.72,2.68
3Month,0,0,0.32,0,0.64,0,0,0
