stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,1.07,0,0,0
21Day,1.34,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,2.68,2.68,0,0
3Month,0,0,0.32,0,1.28,0.32,0.32,0,0,0,0.32,0.32,0.32,0,0.32,0,0,0.64,0
22Month,0,1.09,0,0.55,6.01,0.55,0.55,2.73,0.55,0.55,0.55,0,0,0.55,0,0,0,0,0.55
