stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0
3Month,2.24,3.2,34.87,0.32,1.28,3.2,4.48,0,120.3,4.48,0.32,27.84,1.6,9.28,7.36,2.56,0.64,0,6.4,1.28,1.28,0,1.6,0.96,0,0.96,2.88,0.32,18.88,0,1.6,0.64,4.16
22Month,1.09,1.09,14.76,0.55,0,4.92,18.04,1.09,173.84,3.28,3.28,25.15,2.19,2.73,12.03,4.37,0,4.92,1.09,0,0,0,0,1.09,0.55,0,0,0,12.57,1.64,0,0,0.55
