stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,20.43,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,0,2.14,21.4,0,0,0,0,0,3.21,1.07,1.07,0,0,0,0,0
21Day,0,0,28.11,0,0,0,0,0,0,0,0,1.34,21.42,2.68,0,0,0,0,0,0,1.34,0,0,0,0,1.34
3Month,0,0,105.26,0.32,0.64,0.32,0.32,0,2.24,0.96,1.92,0.64,0.96,1.28,0.32,0.32,0,0.32,0,0,0,0.64,1.92,0.32,0.32,0.96
22Month,0,0.55,5.47,0,0,0,0.55,2.73,16.95,0,5.47,0,0,0.55,1.09,0,0.55,0,0,0,0,0,3.28,0,0,0.55
