stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,34.8,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,2.56,0.96,283.16,0.64,2.88,2.56,2.24,0,25.92,5.12,0,15.68,0.64,742.92,5.12,3.52,1.28,0,2.56,2.56,0.96,1.92,0.64,2.24,5.44,0,0.32,3.52,1.6,2.88
22Month,1.09,0.55,1.09,167.82,0,1.64,3.83,5.47,1.64,44.28,7.11,1.09,20.23,0.55,325.81,10.39,4.37,0,1.64,0,0,0.55,0,3.28,0.55,0,1.09,0,0,0,2.73
