stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,7.49,0,0,0,0,4.28,2.14,0,0,0,0,0,0,2.14,0,0,0
21Day,1.34,2.68,0,0,0,1.34,0,0,0,1.34,0,0,6.69,2.68,0,0,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0,0
3Month,0.32,0.96,0.64,5.76,0.32,0.32,0,17.28,0.32,0,1.28,3.84,19.2,0.32,0.64,0,0.32,0.96,0,0.32,0.64,0.64,0.64,2.56,0.32,0,0.64,0.64,0.96
22Month,0,1.64,0.55,2.19,0,2.19,1.09,30.61,0,0,1.64,0,11.48,1.64,1.09,2.19,0,0,0,0,0,1.09,0,0,0.55,0,0,0,1.09
