stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,322.83,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,2.14,0,24.61,33.16,0,0,1.07,0,0,1.07,1.07,0,0
21Day,0,0,12.05,0,1.34,0,0,1.34,0,0,0,1.34,0,2.68,0,12.05,24.09,0,0,0,0,0,0,0,0,1.34
3Month,0.32,0,9.28,0.32,0,0.32,0.32,1.92,0.32,0.32,0.32,2.56,0.64,0.96,0.32,2.88,0.32,0.32,0,0,0.64,0.32,0,0.32,0.96,0.64
22Month,0,0.55,4.92,0,0,0,0,6.01,0,0,0,0,0.55,8.75,0,3.28,0,2.19,0.55,0,0,0,1.64,0,0,0
