stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,4.09,0,0,0,57.21,0,0,0,0,0,0
72hpf,2.14,5.35,0,0,0,0,0,0,0,0,0,0,0,0,1.07,6.42,52.42,1.07,0,0,2.14,1.07,2.14,0,0,1.07,0,0
21Day,0,0,16.06,2.68,4.02,0,1.34,0,0,0,0,0,4.02,0,0,5.35,95.04,1.34,0,0,1.34,0,1.34,4.02,0,0,0,0
3Month,0,0.64,3.2,0,0,0.32,0,0.32,0.64,0,6.08,0.64,0,0.64,0.32,2.24,126.06,1.28,0.32,0.32,0.32,0.32,0,0.32,0.32,0,0.64,0.96
22Month,0,1.09,4.92,0,0,0,0,0.55,2.19,1.09,28.43,0,0,0.55,0,0.55,29.52,0.55,0,0,0,0,0,0,0,0.55,0,1.09
