stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,4.09,61.3,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,2.14,0,4.28,7.49,0,0,2.14,0,1.07,2.14,0,0,0
21Day,5.35,5.35,0,0,1.34,0,0,0,1.34,0,2.68,4.02,0,0,0,8.03,0,0,1.34,5.35,2.68,2.68,0,2.68,0,0,0,0,0,0
3Month,0,1.6,0,0.32,0,0.32,0.64,0,1.92,0.32,0,0.96,0,0.32,0.64,0.32,0.96,0,0,0,0,0,0,0,0.32,2.56,0,0.32,0.32,0.64
22Month,0,1.64,0,0,0.55,0,0.55,2.19,15.85,1.64,0,1.09,0.55,0,1.09,1.09,0,1.09,0.55,0,0,0,1.09,0,0,11.48,0.55,0,0,0.55
