stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,0,0,47.07,2.14,2.14,0,0,0,0,0
21Day,1.34,0,0,0,0,1.34,0,0,0,0,8.03,0,1.34,1.34,0,0,0,0
3Month,0,0.32,0,0.96,0.32,0,0.64,0.32,0,0,0,0,6.72,0,0.32,0.64,0.32,0
22Month,0,0,0.55,3.28,0,0,0,0,0.55,1.09,0,0,3.83,0,0.55,0,0,0.55
