stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,24.52,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0,12.26,179.8,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,14.98,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,10.7,0,0,0,7.49,7.49,0,0,11.77,0,0,3.21,0,0,0,0,0
21Day,5.35,22.76,0,2.68,1.34,0,0,0,0,0,0,4.02,1.34,0,1.34,0,29.45,0,2.68,0,0,13.39,0,0,6.69,0,0,1.34,1.34,0,1.34,0,0
3Month,0.64,46.39,0.32,4.8,0,0,2.56,0.32,0,4.8,0.64,0.32,2.88,0.32,1.6,1.6,8.32,0.96,0.64,0.32,0.32,0,0.32,0,0.96,0.64,1.92,1.92,0,0.32,37.11,3.52,0.32
22Month,0,91.84,1.09,1.64,0,0.55,1.64,3.83,12.57,27.88,3.83,2.73,2.19,0,0,6.56,9.84,0,0.55,0,0,0,0.55,0.55,0.55,0,2.19,3.28,0,0,15.31,0,0.55
