stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0
21Day,0,2.68,1.34,0,0,0,0,0,0,1.34,2.68,0,2.68,1.34,0,0,1.34,0,0,0
3Month,0.64,2.88,0,0.64,0.32,0.64,2.24,0.32,2.88,0.32,0.32,0.32,0,0.32,0,0.32,0,0.64,0.32,0
22Month,0,2.19,0,0,1.64,1.64,9.84,0.55,5.47,0,1.09,1.64,1.09,0,0,0.55,0,0,0,0.55
