stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,151.2,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,65.26,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,3.21,1.07,0,0,1.07,0,0,0,0,0,0
21Day,97.71,1.34,0,8.03,2.68,0,1.34,0,0,0,0,1.34,0,0,0,0,1.34,1.34,4.02,0,0,4.02,1.34,0,1.34,0,0,0,0,0,0,0
3Month,0.64,0.64,0,6.08,0,0,0,0.32,1.28,0.64,0,24.32,1.92,0,2.56,1.28,2.24,1.92,3.2,0,0.96,0.64,0,0.64,0,0,0.96,5.12,0,0.64,1.6,0.32
22Month,1.09,1.64,1.09,3.28,0,0.55,0,0,0.55,4.92,1.64,85.28,2.19,1.09,5.47,0,1.64,3.83,3.28,2.73,0,0.55,0.55,0,2.73,0,0.55,2.73,1.09,0,0,1.64
