stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,2.14,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,8.03,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.32,6.08,0,0,0.32,0.64,2.24,0,8.96,4.16,0.96,3.84,0.96,2.24,5.76,0.32,0.32,0,0.64,0.64,0,0,0,0.32,52.79,0,0,0.32,3.2,12.8
22Month,3.83,3.28,0.55,1.64,0,0,9.84,0.55,56.85,2.73,2.73,3.28,0,2.73,10.39,6.01,0,1.64,0.55,0,0.55,0.55,0.55,0,23.51,1.09,0.55,0,0,8.75
