stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,1.07,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0,0.32,1.28,0.32,0,0.64,0,2.56,0.32,1.6,0.64,0.32,0.96,0.32,0.64,0,0,1.6,0.32,0.64
22Month,0,0,0,0,0,0,0.55,0.55,0,0.55,0,0.55,0.55,0,0,0,0,0,0,0
