stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,20.43,0,0,0,0,4.09,73.56,0,8.17,0,0,0,0,0,0,0,0
72hpf,2.14,8.56,0,0,60.98,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,25.67,0,0,0,0,48.14,3.21,0,19.26,0,0,0,1.07,1.07,0,0,0
21Day,8.03,9.37,0,25.43,20.08,13.39,0,1.34,0,10.71,0,0,0,2.68,38.82,0,1.34,12.05,8.03,82.99,0,0,2.68,0,77.63,6.69,0,17.4,4.02,1.34,1.34,0,0,0,0,25.43
3Month,0,5.44,0.64,5.76,0,0,0,0,0,8.32,0,0,15.36,14.72,1.28,4.8,1.92,1.28,4.48,3.84,2.24,0,0.96,0.64,0.64,0,0.96,0,0.64,2.88,0.32,0,0,0.32,4.48,10.56
22Month,0,1.64,0,7.11,0,0,0.55,0,1.09,11.48,3.28,0,28.43,11.48,4.92,4.37,0,0,3.28,6.01,0.55,0.55,0,0,1.64,0,0,0,0.55,2.73,1.09,0,0,0,0,4.37
