stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,4.09,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,2.14,0,1.07,0,0,0,0,0,0,2.14,4.28,0,2.14,0,0,1.07,0,0
21Day,0,0,0,2.68,1.34,0,0,0,0,16.06,0,2.68,1.34,1.34,2.68,0,4.02,0,5.35,1.34,0,2.68,1.34,0,0,0,5.35
3Month,0,0.32,0.32,2.56,0,0,0,0.96,0.64,0.96,0.32,1.92,0.32,2.88,0.96,0.32,0.64,0.32,0,0,0.32,0,0,1.92,0,0.64,31.36
22Month,0,0,0,0,0,1.09,1.09,6.01,0.55,0,0,0,0,1.64,0,0,0,0,0,0,0.55,0,0,0,0,0,12.03
