stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,12.26,44.95,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,287.77,1.07,0,2.14,3.21,0,0,0,0,0,14.98,0,1.07,7.49,1.07,3.21,6.42,13.91,6.42,2.14,0,0,0,0,0,0,0
21Day,286.45,2.68,1.34,9.37,5.35,0,0,0,1.34,0,34.8,1.34,1.34,2.68,4.02,17.4,1.34,9.37,6.69,143.22,6.69,0,4.02,2.68,2.68,0,4.02
3Month,1.28,6.72,0.64,2.56,0,0,0,0,2.56,0.64,0.32,1.6,0,0.64,0,0.64,0.32,0,0,0.32,0.64,13.76,0,0,0,35.19,0
22Month,0,2.73,0,0.55,0,0.55,0.55,2.19,3.83,0,0,0.55,0,0.55,0.55,0,0,0,0,0,0.55,2.19,0,0,0,0,0
