stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0
21Day,4.02,0,0,0,0,0,0,0,0,0,0,0,0
3Month,15.68,0.32,1.28,0.32,0.96,0.32,0.32,0.32,0,0,0.32,0,0.32
