stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,4.09,57.21,0,0,0,20.43,106.25,4.09,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,3.21,12.84,2.14,13.91,5.35,1.07,0,0,0,0,0,0,3.21,0,0,12.84,0,68.47,0,0,0,312.38,18.19,3.21,0,26.74,1.07,0,2.14,0,0,1.07,0,0,0
21Day,0,2.68,5.35,5.35,0,1.34,0,0,0,0,0,0,1.34,0,0,1.34,1.34,37.48,0,0,0,92.36,5.35,0,0,8.03,2.68,0,0,0,4.02,0,0,0,0
3Month,0.32,11.84,2.88,0,0,0.64,1.28,0.32,1.6,0,7.04,3.52,0,1.6,0.64,2.24,2.24,17.28,1.6,1.28,1.28,38.07,1.6,5.44,0,0,0,18.24,0.32,0,0,0.64,2.56,24.64,2.56
22Month,0,47.01,7.65,0,0,0,0.55,1.09,2.73,1.09,28.43,0.55,0.55,3.83,0,0,3.28,8.75,0,0.55,0,20.77,0.55,6.01,0.55,0,0.55,16.95,0,0.55,0,0,3.28,0.55,0.55
