stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,20.43,4.09,0,24.52,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,32.69,0,0,0,24.52,339.17,4.09,0,0,12.26,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,5.35,0,0,0,1.07,0,0,0,0,0,0,0,0,3.21,6.42,1.07,20.33,2.14,0,0,104.84,42.79,0,0,0,14.98,0,1.07,2.14,1.07,2.14,0,0
21Day,10.71,0,0,22.76,0,1.34,0,4.02,0,1.34,0,0,1.34,1.34,9.37,1.34,0,4.02,1.34,16.06,0,5.35,0,30.79,21.42,0,0,0,4.02,8.03,0,1.34,0,1.34,0,0
3Month,0,0,0,3.84,0,0,0.32,0,0.32,0,2.24,0,7.36,0.64,0,2.56,0.96,0.96,0.32,2.24,0,0,0.96,0,0,0.32,0.96,0,0,0,23.04,0,0,0,0.64,0.64
22Month,0,0.55,1.09,3.83,0,0,0,0.55,0,0.55,6.01,1.09,18.04,1.09,0.55,1.64,1.09,0,1.64,2.19,1.09,0.55,0,0,1.09,0.55,1.09,1.09,0,0,1.09,0,0,0,0.55,0
