stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,61.3,0,0,0,0,0,0,0,0,0,4.09,0,36.78,0,0,0,12.26,1385.29,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,0,0,0,1.07,0,0,0,0,0,0,0,2.14,1.07,0,4.28,0,0,0,6.42,26.74,0,42.79,0,0,0,0,1.07,0,0,0
21Day,2.68,0,0,10.71,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,1.34,12.05,8.03,40.16,2.68,0,1.34,1.34,0,0,0,0
3Month,0,0.96,13.12,11.84,0,0,13.12,0.32,0.32,2.88,0.64,1.92,0,1.28,0,12.48,0.32,0,0.32,0,0,2.24,0,0,4.16,0,0,0,0,0.96,0.64
22Month,0,0,92.38,6.01,0,1.09,8.75,0.55,1.09,9.84,0,3.28,0.55,0,1.64,8.75,0.55,0.55,0,0,0,5.47,0,0,1.64,0,0,0,0.55,0,0.55
