stage,Cardiomyocyte,Epithelial_cell__Brain_,Granulocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,0,4.09,4.09,0,0,0
72hpf,1.07,3.21,0,1.07,0,0,3.21,1.07,0
21Day,2.68,5.35,0,0,0,1.34,1.34,0,1.34
3Month,0,0,0.64,0.32,0,0,0,0,0
