stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,69.47,0,0,4.09,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,12.26,36.78,0,0,0,0,0,0,0,0,0
72hpf,38.51,1.07,0,0,2.14,0,0,0,0,0,0,0,3.21,0,3.21,0,0,0,246.05,10.7,1.07,1.07,8.56,0,0,1.07,0,0,0
21Day,37.48,1.34,0,6.69,5.35,5.35,0,0,2.68,1.34,0,0,4.02,1.34,2.68,0,0,2.68,95.04,4.02,0,1.34,2.68,1.34,0,2.68,2.68,0,0
3Month,0,0.96,0,1.28,0,0,0,0.32,5.76,0,0.32,0.32,0.64,0.64,0.32,0.32,0,0,1.28,0,1.6,0,0,0.32,4.48,0,0,2.24,0.64
22Month,0,1.09,0.55,1.09,0,0.55,0.55,1.64,20.77,1.09,0.55,0,0,1.64,1.64,0,0.55,0,1.64,0.55,3.83,0,0,0,0.55,0,0,0,1.09
