stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,2.14,4.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,5.35,0,0,0,0,0,1.34,0,4.02,1.34,0,2.68,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,1.34,0,0,0
3Month,0.32,0.96,0.64,16.64,1.28,0.32,1.6,5.12,0,33.91,7.68,1.6,11.84,2.24,4.48,7.36,8,1.28,0,4.48,2.56,1.92,0.32,0.64,0,0,0.32,0.96,173.09,0.32,0,2.56,143.02,2.24
22Month,0,7.11,1.09,12.57,3.28,0,1.64,13.12,20.77,142.13,9.29,3.83,8.2,1.64,2.19,9.29,19.13,0,4.92,2.19,0,0.55,0,1.64,1.64,205,0.55,0,97.85,3.28,0.55,1.09,0,2.73
