stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,0,16.35,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,2.14,0,0,9.63,3.21,0,0,9.63,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34,0,2.68,1.34,1.34,2.68,0,0,1.34,0,21.42,0,0,0,6.69,0,4.02,0,0,0,0,0
3Month,0,0,0,2.24,0.32,0.32,0.32,1.92,0,8,0.96,0.96,3.52,0.96,1.6,0.96,32.95,0.32,0,0.32,0.64,2.88,0,0.32,0.32,0.32,1.28,109.74,0.32,0,0.32,118.06,1.6
22Month,0,0.55,0.55,0.55,0,0,0,3.28,0,26.24,0,0,1.09,0,0,0.55,29.52,0,0.55,0.55,0,3.83,0,0,0,0,0,8.2,0,0.55,0,1.64,1.09
