stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,53.12,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,3.21,3.21,0,0,0,0,0,1.07,0,2.14,6.42,4.28,3.21,0,0,0,581.97,66.33,0,4.28,11.77,0,0,17.12,1.07,1.07,0,0,0
21Day,4.02,0,0,8.03,9.37,0,0,0,0,1.34,0,0,0,1.34,2.68,2.68,0,0,0,235.58,54.88,0,2.68,4.02,4.02,1.34,2.68,0,0,0,0,2.68
3Month,0,0.32,0.32,1.28,0,0.96,1.28,0,5.44,2.56,0,1.6,0.64,1.28,1.28,1.28,0,0,0.96,0.64,0,1.28,1.6,0.32,0.96,52.79,0.64,0,0,0.32,3.84,2.24
22Month,0,0,0,2.73,0,0,0,0.55,8.75,0.55,0,4.92,0,0,0.55,2.73,0.55,1.09,0,0.55,0,1.64,0.55,0,0,11.48,0.55,0,0,0,0,0
