stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,12.26,0,0,0,65.38,0,155.28,0,8.17,0,0,32.69,0,0,0,2791.01,12.26,0,4.09,8.17,143.02,0,4.09,0,0,0,0,0,0,0
72hpf,4.28,0,3.21,3.21,1.07,0,1.07,0,53.49,0,0,0,0,2.14,0,0,6.42,1.07,5.35,0,0,25.67,10.7,1.07,3.21,1.07,0,4.28,0,0,0,0
21Day,1.34,0,14.72,1.34,18.74,0,0,0,354.71,0,0,1.34,0,33.46,0,1.34,4.02,5.35,8.03,0,0,6.69,1.34,0,5.35,8.03,0,2.68,1.34,0,0,1.34
3Month,0,0,4.16,0,0,0.32,0.64,1.28,92.79,0,0,4.16,0.96,0.96,0.96,0.32,0.32,1.6,0.96,0,0.64,0.32,0,0.64,0,1.6,4.16,0,0,0.64,1.28,0.32
22Month,0,1.64,2.73,0,0,0.55,0.55,0,198.44,0.55,0,12.03,0.55,7.11,1.64,0,0.55,4.37,1.09,1.09,0,0.55,0,0,0,0,0,0.55,0,0.55,0,0
