stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,6.42,3.21,0,0,2.14,0,0,0,2.14,6.42,1.07,12.84,0,82.37,0,601.22,19.26,3.21,0,1.07,0,1.07,4.28,0,0,0
21Day,2.68,0,9.37,4.02,1.34,2.68,0,0,1.34,1.34,1.34,6.69,2.68,4.02,0,0,1.34,184.72,1.34,0,0,2.68,6.69,1.34,2.68,1.34,18.74,0
3Month,0,0,0,0,0,1.28,1.6,0.64,0,0.32,0.32,0.32,0,2.56,0.64,0,0,1.6,0,0.96,0.32,0,0.32,4.48,0,0,0,2.56
22Month,0,0,0,0,0,0.55,12.57,0,0,1.09,0,0,0.55,2.73,0,0.55,0,2.19,0,6.56,1.64,0,0,13.12,0.55,0,0,0.55
