stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91,1.07,0,1.07,0,0,3.21,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,20.08,0,0,2.68,0,0,0,2.68,0,0,0,0
3Month,0,1.28,0.32,0,0,3.84,0.32,4.48,0.64,0.32,1.28,0.96,1.92,0.64,0,0.32,0,0.32,0.96,0,0.32,0.32
22Month,0,0,0.55,0.55,0,3.28,0,3.28,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
