stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,5.35,3.21,0,0,0,2.14,0,2.14,1.07,1.07,0,0,0,1.07,0,0,2.14,0,0,0,0,0
21Day,1.34,1.34,6.69,9.37,8.03,0,1.34,0,1.34,0,0,0,57.56,0,5.35,18.74,0,1.34,2.68,9.37,0,1.34,0,1.34,5.35,9.37,0,1.34,0,8.03,1.34,10.71,1.34,1.34,4.02,0,0,6.69
3Month,0.32,2.24,8,34.87,0,4.16,0.32,0,3.84,6.4,0,0,1002.4,8.32,1.6,62.71,4.8,12.48,8,19.84,6.08,0.96,6.08,15.68,1.6,0.32,2.24,1.28,0,1.28,22.4,100.78,1.6,0,0.32,3.2,101.74,70.07
22Month,1.64,5.47,7.65,12.57,0,6.56,0,0.55,4.37,9.29,1.64,0,1632.31,7.11,2.73,69.43,0.55,1.64,13.67,21.32,1.09,39.91,2.73,2.19,1.09,0,2.19,5.47,14.76,0.55,4.92,69.43,1.09,0.55,0,0.55,0.55,29.52
