stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,2.14,0,0,0,0,0,1.07,0,1.07,0,1.07,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.32,3.52,1.28,0,0,0.64,0.32,0.32,0.32,0,0,0,0.32,0.64,9.92,0
22Month,0.55,0,0.55,31.16,11.48,0.55,1.64,0,0.55,0,0,0,0.55,0,0,0,0,0.55
