stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,1.07,3.21,0,3.21,0,11.77,8.56,0,2.14,0,0,1.07,0,0,0,0
21Day,2.68,0,4.02,2.68,1.34,0,0,0,0,0,0,0,0,4.02,0,6.69,0,1.34,0,1.34,0,0,1.34,0,0,0
3Month,0,0,1.6,0,0,0.32,0.32,4.8,0,0.32,0,1.28,0.96,2.24,0.32,0,0,0,0,0,2.56,0,0,0.32,0.64,1.28
22Month,0,0,0.55,0,0,0,0,3.83,0.55,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
