stage,Cardiomyocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,1.07,4.28,1.07,0,1.07,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0.32
22Month,0,0.55,0,0.55,4.92,0.55,0.55,0,0.55,0,0,0.55,0,0
