stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,4.09,0,0,0,0,138.94,0,0,0,0,0,0,0,0,0
72hpf,9.63,1.07,0,1.07,1.07,0,0,1.07,0,0,0,0,1.07,3.21,0,2.14,0,0,0,17.12,12.84,0,0,0,1.07,0,0,0,0,0
21Day,13.39,0,2.68,0,1.34,0,0,1.34,0,0,2.68,0,0,2.68,0,4.02,0,0,0,6.69,1.34,0,2.68,0,1.34,1.34,1.34,0,0,0
3Month,1.6,0.32,6.72,0,0,0,1.6,4.8,4.16,4.16,0.64,4.16,0.32,0.96,1.28,1.6,0,0.96,0.64,0.32,0,1.6,0,6.72,0,0,0,0.64,5.76,2.88
22Month,1.09,0,2.19,0,0,1.09,0,2.73,13.12,0.55,2.73,5.47,0,0,1.64,1.09,1.09,0.55,0,0,0,0,0,11.48,1.64,0,0,0,0,1.09
